source_variable,unit_measure,unit_measure_label,type,type_label,technology_domain,technology_domain_label,regional_patent_office,regional_patent_office_label,candidate_role,recommended_use,include,reason,coverage_checked,dataset_id,variable,total_rows,non_missing_observations,missing_observations,countries_total,countries_with_data,years_total,years_with_data,first_year,last_year
INV_RD_S13.COL.GOODS.EAPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.GOODS.EPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.GOODS.GCC,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.GOODS.OAPI,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.GOODS.PCT,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.ICT.ARIPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.ICT.EAPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.ICT.EPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.ICT.GCC,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.ICT.OAPI,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.ICT.PCT,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.MAN.ARIPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,MAN,Environmental management,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.MAN.EAPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,MAN,Environmental management,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.MAN.EPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,MAN,Environmental management,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.MAN.GCC,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,MAN,Environmental management,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.MAN.OAPI,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,MAN,Environmental management,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.MAN.PCT,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,MAN,Environmental management,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.OCEAN.ARIPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,OCEAN,Sustainable ocean economy,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.OCEAN.EAPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,OCEAN,Sustainable ocean economy,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.OCEAN.EPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,OCEAN,Sustainable ocean economy,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.OCEAN.GCC,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,OCEAN,Sustainable ocean economy,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.OCEAN.OAPI,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,OCEAN,Sustainable ocean economy,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.OCEAN.PCT,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,OCEAN,Sustainable ocean economy,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.TRA.ARIPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.TRA.EAPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.TRA.EPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.TRA.GCC,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.TRA.OAPI,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.TRA.PCT,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.WAT_WASTE.ARIPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.WAT_WASTE.EAPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.WAT_WASTE.EPO,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.WAT_WASTE.GCC,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.WAT_WASTE.OAPI,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.COL.WAT_WASTE.PCT,INV_RD_S13,Inventions per unit of government R&D,COL,International collaboration in development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT.PCT,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD.PCT,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENE.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENE.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENE.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENE.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENE.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENE.PCT,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT.PCT,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG.PCT,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS.PCT,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,PCT,Patent Cooperation Treaty,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ICT.ARIPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),ARIPO,African Regional Industrial Property Organisation,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ICT.EAPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),EAPO,Eurasian Patent Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ICT.EPO,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),EPO,European Patent Office,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ICT.GCC,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),GCC,Patent Office of the Cooperation Council for the Arab States of the Gulf,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
INV_RD_S13.DEV.ICT.OAPI,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),OAPI,African Intellectual Property Organization,breakdown_candidate,diagnostic breakdown candidate,False,"Patent-office breakdown may help diagnose regional patenting routes, but it is too narrow for the main country-year outcome.",False,,,,,,,,,,,
